Algoritmo,N,Run,Solucion,H,Optimo,Tiempo,Estados_Evaluados
Backtracking,12,12,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0020003318786621094,66
Forward Checking,12,12,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0,66
Backtracking,12,13,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009996891021728516,66
Forward Checking,12,13,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0025022029876708984,66
Backtracking,12,14,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0019996166229248047,66
Forward Checking,12,14,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0020003318786621094,66
Backtracking,12,15,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002001047134399414,66
Forward Checking,12,15,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009992122650146484,66
Backtracking,12,16,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.003000020980834961,66
Forward Checking,12,16,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0019998550415039062,66
Backtracking,12,17,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002000093460083008,66
Forward Checking,12,17,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,12,18,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0029997825622558594,66
Forward Checking,12,18,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010004043579101562,66
Backtracking,12,19,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002999544143676758,66
Forward Checking,12,19,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0010001659393310547,66
Backtracking,12,20,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002000570297241211,66
Forward Checking,12,20,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009996891021728516,66
Backtracking,12,21,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0029997825622558594,66
Forward Checking,12,21,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,12,22,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002000093460083008,66
Forward Checking,12,22,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0019998550415039062,66
Backtracking,12,23,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0030007362365722656,66
Forward Checking,12,23,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.001999378204345703,66
Backtracking,12,24,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0030007362365722656,66
Forward Checking,12,24,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0,66
Backtracking,12,25,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0019989013671875,66
Forward Checking,12,25,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0,66
Backtracking,12,26,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.002000093460083008,66
Forward Checking,12,26,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,12,27,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.003000020980834961,66
Forward Checking,12,27,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,12,28,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.003000020980834961,66
Forward Checking,12,28,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0020003318786621094,66
Backtracking,12,29,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0039997100830078125,66
Forward Checking,12,29,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,12,30,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.004000186920166016,66
Forward Checking,12,30,"[0, 2, 4, 7, 9, 11, 5, 10, 1, 6, 8, 3]",0,True,0.0009999275207519531,66
Backtracking,15,1,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.011079788208007812,105
Forward Checking,15,1,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.004000663757324219,105
Backtracking,15,2,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.010085105895996094,105
Forward Checking,15,2,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.005922079086303711,105
Backtracking,15,3,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.011766910552978516,105
Forward Checking,15,3,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.003995418548583984,105
Backtracking,15,4,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.011002063751220703,105
Forward Checking,15,4,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.0039958953857421875,105
Backtracking,15,5,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.011002063751220703,105
Forward Checking,15,5,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.003997325897216797,105
Backtracking,15,6,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.010000944137573242,105
Forward Checking,15,6,"[0, 2, 4, 1, 9, 11, 13, 3, 12, 8, 5, 14, 6, 10, 7]",0,True,0.005002021789550781,105
